PLC Tag,Display Name,Area,Equipment,Parameter,Unit,Category,Data Type,Normal Low,Normal High,Warning Low,Warning High,Critical Low,Critical High,Active,Mapping Status
WIT120CV002,WIT120CV002,Area 120,,,,Unknown,Numeric,,,,,,,True,Needs Review
WIQ120CV002,WIQ120CV002,Area 120,,,,Potential Totalizer / Flow,Numeric,,,,,,,True,Needs Review
IIT120CS001,IIT120CS001,Area 120,,,,Current / Electrical,Numeric,,,,,,,True,Needs Review
LIT120BN01A,LIT120BN01A,Area 120,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
WIQ130CV001,WIQ130CV001,Area 130,,,,Potential Totalizer / Flow,Numeric,,,,,,,True,Needs Review
VSD130PP003,VSD130PP003,Area 130,,,,VSD / Speed,Numeric,,,,,,,True,Needs Review
VSD130PP004,VSD130PP004,Area 130,,,,VSD / Speed,Numeric,,,,,,,True,Needs Review
IIT160AG003,IIT160AG003,Area 160,,,,Current / Electrical,Numeric,,,,,,,True,Needs Review
IIT160AG004,IIT160AG004,Area 160,,,,Current / Electrical,Numeric,,,,,,,True,Needs Review
IIT160AG005,IIT160AG005,Area 160,,,,Current / Electrical,Numeric,,,,,,,True,Needs Review
IIT160AG006,IIT160AG006,Area 160,,,,Current / Electrical,Numeric,,,,,,,True,Needs Review
IIT160AG007,IIT160AG007,Area 160,,,,Current / Electrical,Numeric,,,,,,,True,Needs Review
VSD160PP009,VSD160PP009,Area 160,,,,VSD / Speed,Numeric,,,,,,,True,Needs Review
VSD160PP010,VSD160PP010,Area 160,,,,VSD / Speed,Numeric,,,,,,,True,Needs Review
VSD160PP011,VSD160PP011,Area 160,,,,VSD / Speed,Numeric,,,,,,,True,Needs Review
VSD160PP012,VSD160PP012,Area 160,,,,VSD / Speed,Numeric,,,,,,,True,Needs Review
VSD160PP013,VSD160PP013,Area 160,,,,VSD / Speed,Numeric,,,,,,,True,Needs Review
VSD160PP014,VSD160PP014,Area 160,,,,VSD / Speed,Numeric,,,,,,,True,Needs Review
